Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Local currency in bn,140.172,148.983,139.036,149.307,116.49,148.474,143.4,212.099,186.018,205.862,242.189,219.322,235.686,239.229,256.776,246.41,261.315,288.526,324.822,323.085,325.307,300.895,353.814,337.983,385.59,432.918,458.04,467.871,477.746,479.389,488.747,497.513,514.632,532.704,552.547,573.507,594.284,616.075
US$ in bn,1.20309,1.27871,1.19334,1.28149,0.999824,1.27434,1.23079,1.82044,1.59658,1.7669,2.0787,1.88243,2.02288,2.05329,2.20389,2.11492,2.24285,2.4764,2.78793,2.77302,2.79209,2.58256,3.03676,2.90089,3.3095,3.71571,3.93133,4.01571,4.10046,4.11457,4.19489,4.27013,4.41705,4.57217,4.74248,4.92238,5.10071,5.28774
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),4.68034,5.04765,4.92017,5.97067,4.91905,8.23036,4.48505,4.31139,5.14448,5.05712,7.40214,8.24294,8.49481,9.40704,9.23868,10.082,10.6608,11.9475,13.8547,14.5831,13.9005,12.0281,13.5432,14.1223,14.2702,15.7573,16.4831,17.3103,18.4205,19.4474,20.5379,21.6305,22.7264,23.8956,25.1738,26.5377,28.0587,29.6897
Percentage of GDP,15.2929,14.8682,13.3667,15.5895,12.0587,18.733,9.49763,7.8813,8.56383,7.30797,9.2447,8.91466,7.88389,7.76344,6.83556,6.96125,6.85656,7.06283,7.53792,7.41241,7.43996,7.15683,8.21384,8.2599,8.26435,9.01745,8.95175,8.86737,9.01481,9.07209,9.10999,9.07795,9.0339,9.03311,9.03868,9.06226,9.10068,9.18634
US$ in bn (Nominal),5.54093,5.56452,6.26333,7.40668,6.37994,9.6493,5.33036,5.64051,6.53083,5.73626,8.2938,8.78922,7.84324,8.42373,8.72715,11.403,13.2567,14.8716,17.3999,19.9831,20.4448,16.7621,17.9574,19.6579,18.3343,20.9257,21.9483,21.3782,22.2428,23.0937,24.0957,25.2755,26.4501,27.6997,29.1085,30.6365,32.3406,34.1657
Percentage growth,-100,3.26402,1.91976,18.9579,-20.0107,59.371,-46.4759,-9.19189,18.5247,-5.38929,37.2464,6.30611,-3.18603,3.67305,-6.78631,4.8672,3.03979,8.88259,12.5523,3.15119,-2.36622,-9.90434,14.4193,3.35768,-0.218842,9.28875,3.93143,2.35851,4.70452,3.73425,3.6178,3.25484,3.00632,3.08302,3.28422,3.3507,3.65819,3.73826
Local currency in bn,8.61952,8.90086,9.07173,10.7915,8.63208,13.757,7.36333,6.6865,7.92515,7.49804,10.2908,10.9397,10.5912,10.9802,10.2351,10.7332,11.0595,12.0419,13.5534,13.9805,13.6497,12.2978,14.071,14.5435,14.5117,15.8596,16.4831,16.8719,17.6656,18.3253,18.9883,19.6063,20.1957,20.8184,21.5021,22.2226,23.0355,23.8966
US$ in bn,11.4774,11.8521,12.0796,14.3696,11.4942,18.3184,9.80475,8.90351,10.5529,9.98413,13.7029,14.567,14.1029,14.6209,13.6287,14.292,14.7264,16.0345,18.0472,18.6159,18.1754,16.3753,18.7365,19.3656,19.3232,21.1181,21.9483,22.466,23.5229,24.4013,25.2841,26.1071,26.8919,27.721,28.6314,29.5908,30.6733,31.8199
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),68.7435,72.2152,77.9546,82.3238,84.9262,91.8444,101.701,105.573,118.653,125.329,132.005,139.28,163.558,167.832,163.979,160.687,165.179,163.207,172.233,177.871,168.801,156.17,158.262,161.122,160.482,159.33,162.732,166.931,172.078,176.778,182.538,188.894,196.147,203.42,210.92,218.406,225.97,233.911
Percentage of GDP,11.4985,10.9923,10.6865,10.3332,10.1426,10.65,11.1356,10.6958,11.3742,11.4834,11.6279,11.8935,13.1746,12.9221,12.1854,11.5444,11.4196,10.947,11.1036,11.0481,10.3412,9.9309,9.86688,9.82779,9.85858,9.84304,10.0614,10.2118,10.2903,10.3286,10.4064,10.4875,10.5834,10.666,10.7502,10.8217,10.9017,10.997
US$ in bn (Nominal),81.3836,79.6099,99.2356,102.123,110.148,107.679,120.869,138.119,150.628,142.16,147.907,148.51,151.013,150.289,154.9,181.742,205.4,203.151,216.304,243.736,248.272,217.635,209.844,224.278,206.186,211.591,216.688,206.16,207.784,209.923,214.159,220.725,228.285,235.804,243.887,252.139,260.454,269.175
Percentage growth,-100,-1.07957,-0.902092,-1.35897,-1.16418,4.10381,6.9521,-1.24014,7.48679,2.95737,2.72073,3.83333,15.1694,-0.369385,-5.46263,-5.02938,0.263977,-3.02352,3.566,0.813255,-7.40962,-9.24412,1.01486,0.328003,-2.00578,-2.07952,1.77769,1.65352,1.69616,1.34689,1.7906,1.79461,1.93924,1.78096,1.76139,1.62606,1.54078,1.59357
Local currency in bn,150.821,149.193,147.847,145.838,144.14,150.055,160.487,158.497,170.363,175.402,180.174,187.081,215.46,214.664,202.937,192.731,193.24,187.397,194.08,195.658,181.16,164.414,166.082,166.627,163.285,159.889,162.732,165.423,168.228,170.494,173.547,176.662,180.087,183.295,186.523,189.556,192.477,195.544
US$ in bn,200.829,198.661,196.868,194.193,191.932,199.809,213.7,211.05,226.851,233.559,239.914,249.11,286.899,285.839,270.225,256.634,257.312,249.532,258.43,260.532,241.227,218.928,221.15,221.875,217.425,212.904,216.688,220.271,224.007,227.025,231.09,235.237,239.799,244.069,248.368,252.407,256.296,260.38
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0.01,0.01,0.01,0.146745,1.92259,17.1868,34.1673,39.8362,77.9875,76.7098,102.436,196.896,260.696,201.675,317.051,420.125,470.768,542.078,650.148,753.68,962.64,1078.59,1362.49,1618.39,1821.62,2041.14,2289.18,2603.44,2958.31,3324.6,3699.75,4111.31,4557.12,5039.47,5568.01,6128.83,6777.89
Percentage of GDP,5.28581,5.73017,6.20302,6.22403,6.0265,6.53432,4.05923,3.36893,2.81377,4.6639,4.42573,5.08002,7.52919,8.15511,5.44314,6.87452,7.157,6.202,5.30734,5.15517,4.60979,5.87494,5.15465,5.13489,5.50615,5.51655,5.58236,5.6147,5.65637,5.68283,5.65724,5.62966,5.59414,5.5711,5.55098,5.53663,5.50151,5.47828
US$ in bn (Nominal),0.391298,0.422503,0.455541,0.406804,0.373018,0.36724,0.483589,0.56058,0.591919,1.03377,0.979691,0.857062,1.38532,1.77659,1.31573,2.11961,3.08825,3.54281,4.29913,5.30516,6.26501,6.52637,7.31995,9.29263,10.8537,11.9741,11.39,12.3718,14.0702,15.9881,17.9677,19.4128,20.944,22.4966,24.1072,25.8106,27.5304,29.4719
Percentage growth,-100,7.97488,7.81943,-10.6986,-8.30535,-1.5489,-45.7056,-23.7642,-15.8979,68.1241,-6.42225,16.9501,62.6432,22.867,-26.6518,38.1074,14.0555,-4.18732,-5.28329,5.79207,-7.63222,28.7423,-5.83469,7.09673,12.7026,6.24963,5.10696,5.3047,6.78658,7.19905,6.02063,5.48327,5.33121,5.06532,4.82011,4.72861,4.33395,4.82565
Local currency in bn,1014.87,1095.8,1181.49,1055.08,967.455,952.47,517.138,394.244,331.568,557.445,521.645,610.064,992.228,1219.12,894.203,1234.96,1408.54,1349.56,1278.26,1352.3,1249.09,1608.1,1514.28,1621.74,1827.74,1941.97,2041.15,2149.42,2295.29,2460.53,2608.67,2751.71,2898.41,3045.23,3192.01,3342.95,3487.83,3656.14
US$ in bn,5.66317,6.1148,6.59295,5.88759,5.39861,5.31499,2.88574,2.19997,1.85022,3.11066,2.91089,3.40429,5.53685,6.80295,4.98985,6.89135,7.85996,7.53084,7.13296,7.54611,6.97017,8.97356,8.44998,9.04965,10.1992,10.8366,11.39,11.9942,12.8082,13.7303,14.557,15.3552,16.1738,16.993,17.8121,18.6544,19.4628,20.4021
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0,0,0.03,0.224242,0.575474,0.678217,0.828125,1.24288,0.790636,1.75924,3.65497,3.62607,3.48981,3.44824,4.49999,4.85138,8.2711,6.68163,8.17478,7.88604,5.98142,15.995,12.5628,13.5403,13.6382,14.4256,15.0864,16.9478,19.0632,21.4867,24.2289,27.2467,30.5737,34.4006,38.6007,43.0843
Percentage of GDP,3.36898,3.68871,3.80123,4.0214,4.62501,4.18753,4.78804,4.20079,3.53915,4.05032,2.31309,3.60915,5.59223,4.90786,4.63042,4.11132,4.76941,4.80816,7.2681,4.70876,4.34847,3.91905,2.71427,5.59287,4.04637,3.86836,3.48503,3.28727,3.0453,3.04472,3.06247,3.08957,3.12125,3.14767,3.1704,3.20507,3.23127,3.24042
US$ in bn (Nominal),0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.06,0.06,0.07,0.04,0.05,0.08,0.07,0.07,0.08,0.10551,0.118292,0.20599,0.179054,0.22351,0.183806,0.130132,0.346633,0.267268,0.279539,0.255388,0.253052,0.260731,0.285999,0.314109,0.345684,0.380592,0.413213,0.447624,0.486207,0.526651,0.566274
Percentage growth,-100,13.8699,6.14188,0.08,-4.04509,-27.2985,-8.52768,-17.3388,-9.83138,25.6066,-41.6462,61.9414,63.3053,-7.46019,-5.73811,-4.90873,24.111,0.608871,55.9622,-29.7245,0.09,-7.14432,-31.1298,118.295,-27,5.2265,-6.30676,-1.42355,-1.8021,5.97969,6.11508,6.33272,6.37955,6.09007,5.85914,6.14817,5.85808,5.29739
Local currency in bn,10.7136,12.1995,12.9488,12.9586,12.4344,9.03998,8.26908,6.83532,6.16331,7.74153,4.51747,7.31566,11.9469,11.0556,10.4212,9.90967,12.299,12.3739,19.2986,13.5622,13.5743,12.6045,8.68075,18.9496,13.8332,14.5562,13.6382,13.4441,13.2018,13.9912,14.8468,15.787,16.7941,17.8169,18.8608,20.0204,21.1932,22.3159
US$ in bn,0.200621,0.228447,0.242478,0.242661,0.232845,0.169282,0.154846,0.127998,0.115414,0.144967,0.08,0.136992,0.223716,0.207026,0.195147,0.185568,0.23031,0.231712,0.361384,0.253964,0.254191,0.236031,0.162555,0.354849,0.25904,0.272579,0.255388,0.251752,0.247215,0.261998,0.278019,0.295626,0.314485,0.333638,0.353186,0.3749,0.396862,0.417886
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.01,0.01,0.01,0.02,0.01,0.03,0.103616,0.09,0.222631,0.315223,0.326592,0.305064,0.433673,0.443446,0.548997,0.600866,0.748105,0.983951,1.23839,1.59565,1.84675,1.59293,1.47741,1.64681,1.85038,1.93695,2.11096,2.22717,2.39119,2.56793,2.75532,2.9506,3.1417,3.35232,3.575,3.80428,4.04438,4.31589
Percentage of GDP,9.19148,11.7,11.4477,7.43314,0.859183,1.34311,3.28966,2.13688,4.76777,5.86646,5.4593,4.9146,6.39759,5.96663,6.55292,6.29133,6.73501,7.23264,7.25144,7.08026,7.56876,8.43104,8.13269,8.11336,8.39439,8.34109,8.78094,8.76669,8.84655,8.88711,8.91043,8.91704,8.88204,8.88227,8.89456,8.90478,8.92367,8.99805
US$ in bn (Nominal),0.01,0.01,0.01,0.02,0.02,0.04,0.123145,0.113103,0.282626,0.357555,0.365933,0.325281,0.400409,0.397093,0.5186,0.679598,0.930268,1.22477,1.55528,2.1865,2.71619,2.21986,1.95894,2.29232,2.37736,2.57228,2.81088,2.75056,2.88736,3.04942,3.23262,3.44782,3.65646,3.886,4.13377,4.39185,4.66157,4.96656
Percentage growth,-100,30.1036,29.0311,45.4093,-15.3286,82.2345,146.522,-32.6418,128.742,33.8499,-1.09518,-8.03335,37.138,-0.06,17.7209,4.29512,16.5963,18.3111,11.912,7.20209,3.50443,-4.40939,-6.31019,4.74696,8.46625,3.55549,8.21611,3.63158,4.84628,4.87862,4.77449,4.57738,3.99011,4.2031,4.14343,3.91927,3.81938,4.21295
Local currency in bn,1.83315,2.46612,2.38279,1.38607,0.104365,0.138889,0.342392,0.23063,0.527547,0.706121,0.698388,0.642284,0.880816,0.880245,1.03623,1.08074,1.2601,1.49084,1.66843,1.78859,1.85127,1.76964,1.65798,1.73668,1.88371,1.95069,2.11096,2.18762,2.29364,2.40553,2.52039,2.63575,2.74092,2.85613,2.97447,3.09105,3.2091,3.3443
US$ in bn,0.05,0.06,0.08,0.119857,0.101484,0.18494,0.455918,0.307098,0.702463,0.940246,0.929948,0.855242,1.17286,1.1721,1.37981,1.43907,1.67791,1.98515,2.22162,2.38163,2.46509,2.35639,2.2077,2.3125,2.50828,2.59746,2.81087,2.91295,3.05412,3.20312,3.35606,3.50968,3.64971,3.80312,3.9607,4.11593,4.27313,4.45315
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.03,0.03,0.03,0.03,0.160089,0.667878,1.0854,1.31354,1.7968,2.38738,3.34789,4.11053,3.48614,3.56426,3.36777,3.71445,4.35301,4.83065,5.38526,6.01059,5.27261,5.16343,3.98553,4.65352,5.12182,5.51552,5.91219,5.8589,6.2075,6.54017,6.8785,7.22533,7.56089,8.01439,8.52583,9.10742,9.7296,10.4873
Percentage of GDP,22.5819,23.536,24.5772,8.3996,4.70486,6.03632,6.39829,4.88346,5.33604,5.89844,7.44444,9.37579,7.58566,7.29916,6.43943,6.49656,6.91271,6.66141,6.47729,5.99431,4.67042,5.55204,4.12227,4.31319,4.45273,4.56981,4.75344,4.5241,4.50146,4.42806,4.35235,4.28077,4.21083,4.21992,4.26685,4.34068,4.42448,4.57227
US$ in bn (Nominal),0.08,0.08,0.09,0.09,0.09,0.153745,0.272867,0.328386,0.449201,0.596844,0.836972,1.02763,0.871534,0.891064,0.915911,1.21353,1.5655,1.74138,1.95669,2.38163,2.23693,2.07865,1.52917,1.87559,1.90665,2.12053,2.27561,1.99361,2.06279,2.13657,2.22009,2.32266,2.42083,2.55578,2.71208,2.89245,3.08511,3.32004
Percentage growth,-100,4.22533,4.42374,5.8448,-0.161446,75.5529,-4.35517,-22.7667,14.9924,19.5377,35.8318,24.657,-16.1632,2.66974,-5.74586,11.2541,14.247,3.97657,4.43781,2.80363,-20.038,1.26595,-24.5501,11.0292,7.19775,5.9722,7.03913,-1.28394,4.07645,3.09103,3.00844,2.8794,2.49757,3.82368,4.19948,4.63037,4.64033,5.57654
Local currency in bn,3321.54,3461.89,23.698,7.63947,3.3694,3.62149,3.46377,2.67518,3.07626,3.67729,4.99493,6.22653,5.22013,5.35949,5.05154,5.62005,6.42073,6.67606,6.97232,7.1678,5.73152,5.80408,4.37917,4.86216,5.21213,5.52341,5.91221,5.8363,6.07421,6.26197,6.45036,6.63609,6.80183,7.06191,7.35847,7.6992,8.05647,8.50574
US$ in bn,0.69038,0.719551,0.751382,0.795299,0.794015,1.39392,1.33321,1.02968,1.18406,1.41539,1.92255,2.3966,2.00923,2.06287,1.94434,2.16316,2.47135,2.56962,2.68366,2.75889,2.20607,2.234,1.68555,1.87145,2.00615,2.12597,2.27561,2.2464,2.33797,2.41024,2.48275,2.55424,2.61803,2.71814,2.83228,2.96343,3.10094,3.27387
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.520976,0.516526,0.609482,0.594792,0.765444,0.936827,0.723167,0.905332,0.790579,1.1919,1.07642,1.66399,1.08177,1.2593,1.0728,0.947491,1.18084,1.21704,1.36031,1.5932,1.72495,1.72964,1.67893,2.26326,2.60164,2.50663,2.10389,2.27312,2.46066,2.60601,2.78991,2.96639,3.14433,3.32173,3.52028,3.76422,3.99519,4.23388
Percentage of GDP,5.82306,5.05487,5.52444,4.8735,5.93821,6.58168,4.72623,5.70109,4.76211,6.90661,5.88141,7.96148,4.67847,5.36662,4.33568,3.67555,4.28602,4.08796,4.08456,4.43131,4.5971,4.79206,4.2644,5.33658,5.93819,5.53486,4.47305,4.61264,4.73321,4.7627,4.86085,4.93261,4.99509,5.04773,5.12632,5.26258,5.37227,5.48434
US$ in bn (Nominal),0.616769,0.569417,0.775865,0.737845,0.992772,1.09834,0.859465,1.18443,1.00363,1.35197,1.20609,1.77427,0.998795,1.12767,1.01341,1.07164,1.46838,1.51491,1.7084,2.18314,2.53705,2.41038,2.22614,3.15041,3.34257,3.32882,2.80147,2.8073,2.97124,3.09464,3.2732,3.46627,3.65952,3.85054,4.07051,4.34561,4.60487,4.87218
Percentage growth,-100,-4.68699,14.9696,-4.15741,24.0647,15.492,-25.4478,22.423,-15.2046,53.6443,-9.31608,46.7653,-36.2752,17.0038,-16.5636,-14.2167,22.3534,-0.687599,4.79412,15.501,4.24697,-1.31889,-6.43297,28.4076,11.0919,-4.93703,-16.5609,5.31805,5.52027,3.5504,4.93395,4.22514,3.90485,3.55488,3.88385,4.81777,4.03938,3.88217
Local currency in bn,1.03342,0.984987,1.13243,1.08535,1.34654,1.55515,1.1594,1.41937,1.20356,1.8492,1.67693,2.46115,1.56836,1.83504,1.53109,1.31342,1.60702,1.59597,1.67248,1.93173,2.01377,1.98721,1.85937,2.38758,2.65241,2.52146,2.10388,2.21577,2.33808,2.4211,2.54055,2.64789,2.75129,2.84909,2.95975,3.10234,3.22766,3.35296
US$ in bn,1.37607,1.31158,1.50792,1.44522,1.79301,2.07079,1.54382,1.88999,1.60262,2.46234,2.23294,3.27719,2.08838,2.44348,2.03876,1.74891,2.13985,2.12514,2.22702,2.57223,2.68147,2.64611,2.47589,3.17923,3.53186,3.35749,2.80146,2.95045,3.11332,3.22386,3.38292,3.52585,3.66353,3.79377,3.94111,4.13098,4.29785,4.4647
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.01,0.01,0.01,0.02,0.325349,1.50882,3.14407,4.46441,4.0448,4.04225,4.33411,7.78652,13.7082,10.5422,11.0431,12.4871,12.8338,14.4082,16.5225,19.4592,22.2536,21.5528,19.8495,22.5771,23.7499,26.0418,27.4483,27.6775,29.8387,32.4007,34.8194,37.2556,39.7459,42.4114,45.1247,47.9642,51.0109,54.3421
Percentage of GDP,2.09834,1.69188,1.87005,1.73197,2.62261,2.42448,2.0416,2.50372,2.1794,2.06592,2.11328,3.54179,5.51315,4.17688,4.27067,4.64732,4.38124,4.57372,4.8338,4.95761,4.95763,4.81976,4.22849,4.54357,4.73259,5.10626,5.19918,5.00185,5.07986,5.19006,5.25801,5.32931,5.38578,5.44564,5.49612,5.54747,5.6051,5.66736
US$ in bn (Nominal),0.06,0.05,0.05,0.08,0.06,0.06,0.07,0.117851,0.101168,0.08,0.08,0.136841,0.208003,0.154947,0.171611,0.22987,0.259741,0.292353,0.338563,0.435038,0.531521,0.48872,0.427006,0.510437,0.495924,0.561302,0.592149,0.533072,0.561247,0.599126,0.636113,0.677885,0.720309,0.765544,0.812485,0.86223,0.915531,0.97235
Percentage growth,-100,-19.3708,10.5308,-13.078,66.0615,-14.4883,-17.308,21.2865,-11.9092,-3.87948,5.77032,74.803,62.6651,-27.6472,3.06332,11.9208,-1.50658,8.96056,11.0763,8.86893,5.07533,-3.72897,-9.85498,10.6482,3.69146,10.1075,5.61042,-0.565903,5.48819,5.93742,4.84431,4.38667,4.08286,4.10356,3.80293,3.70023,3.75853,3.93226
Local currency in bn,7.41421,5.97801,6.60755,5.74341,9.53759,8.15575,6.74415,8.17975,7.2056,6.92606,7.32572,12.8056,20.8302,15.0712,15.5329,17.3846,17.1227,18.6569,20.7234,22.5614,23.7065,22.8225,20.5733,22.764,23.6043,25.9901,27.4483,27.2929,28.7908,30.5002,31.9778,33.3805,34.7434,36.1691,37.5446,38.9338,40.3972,41.9857
US$ in bn,0.159949,0.128965,0.142546,0.123904,0.205757,0.175946,0.145493,0.176464,0.155448,0.149418,0.15804,0.276258,0.449376,0.325136,0.335096,0.375042,0.369392,0.402491,0.447072,0.486723,0.511426,0.492355,0.443833,0.491093,0.509222,0.560691,0.592148,0.588797,0.621112,0.65799,0.689865,0.720127,0.749529,0.780286,0.80996,0.83993,0.871499,0.905769
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.45906,0.493421,0.627126,0.693753,0.72451,0.871715,0.969464,1.02011,1.07196,1.19579,1.12301,1.17744,1.12726,1.11071,1.16433,1.1998,1.145,1.25388,1.32545,1.41846,1.52717,1.38727,1.63176,1.77105,1.91112,2.01283,2.16091,2.24846,2.39526,2.53277,2.66922,2.80937,2.95909,3.12451,3.3036,3.49525,3.69878,3.91777
Percentage of GDP,31.2114,30.3635,35.1981,35.4535,34.1515,38.2403,38.8688,33.0985,33.3986,35.1607,31.2894,31.1455,27.2502,26.0406,25.8114,25.2367,23.6107,24.3424,24.5846,24.6244,24.9143,22.5977,24.7329,25.6983,26.6347,26.8074,28.0859,28.1372,28.833,29.2115,29.5549,29.8662,30.2052,30.6241,31.0861,31.5811,32.0866,32.697
US$ in bn (Nominal),0.595649,0.607835,0.847179,0.921375,0.975258,0.978912,1.10126,1.24039,1.27669,1.33005,1.24108,1.26718,1.10449,1.05952,1.15273,1.3654,1.42617,1.55676,1.66919,1.95379,2.24687,1.93407,2.16418,2.46556,2.45656,2.67314,2.87739,2.77685,2.89228,3.00767,3.13161,3.28279,3.44393,3.62193,3.81996,4.0351,4.26323,4.50841
Percentage growth,-100,5.27945,23.259,7.06384,0.797249,16.7663,4.62452,-6.9611,4.98522,10.4209,-8.0332,3.68267,-7.0689,-3.8343,2.02471,0.232933,-6.0064,7.03882,2.86539,4.12743,4.53612,-11.5309,13.3273,6.23209,5.67979,4.3009,6.47053,2.6801,4.71696,3.35927,3.0106,2.86889,2.95171,3.20802,3.34575,3.41344,3.43493,3.53014
Local currency in bn,0.954379,1.00476,1.23846,1.32595,1.33652,1.5606,1.63277,1.51911,1.59485,1.76104,1.61957,1.67922,1.56052,1.50068,1.53107,1.53463,1.44246,1.54399,1.58823,1.65378,1.7288,1.52945,1.73329,1.84131,1.94589,2.02958,2.16091,2.21882,2.32348,2.40154,2.47384,2.54481,2.61992,2.70397,2.79444,2.88983,2.98909,3.09461
US$ in bn,1.27082,1.33792,1.6491,1.76559,1.77967,2.07805,2.17415,2.02281,2.12365,2.34495,2.15658,2.236,2.07794,1.99826,2.03872,2.04347,1.92073,2.05593,2.11484,2.20213,2.30202,2.03658,2.308,2.45183,2.59109,2.70253,2.8774,2.95452,3.09388,3.19781,3.29409,3.38859,3.48861,3.60053,3.72099,3.84801,3.98018,4.12069
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0,0,0.02,0.114001,0.03,0.246135,0.492833,0.453157,0.457912,0.787735,1.17736,1.19711,1.5086,1.91989,2.11874,2.47753,2.85171,2.77375,1.88524,2.11455,1.74142,2.04527,2.22774,2.59044,2.82052,3.08931,3.47922,4.02712,4.38217,4.72606,4.96857,5.22757,5.49613,5.77245,6.0357,6.3497
Percentage of GDP,5.01647,5.55796,6.23403,7.49887,8.88892,6.26038,0.583451,3.79838,6.32,5.08194,5.01987,6.39292,7.34933,6.28338,6.68823,6.95133,6.61444,6.58007,6.37196,5.19138,2.99615,3.49917,2.42248,2.48366,2.52498,2.59358,2.63955,2.64252,2.71747,2.87213,2.86205,2.82661,2.72129,2.62193,2.52438,2.42793,2.32477,2.23967
US$ in bn (Nominal),0.08,0.09,0.1,0.1,0.08,0.06,0.01,0.05,0.107033,0.1,0.09,0.07,0.09,0.09,0.111167,0.137677,0.17184,0.196635,0.217172,0.228482,0.181412,0.190335,0.140786,0.174235,0.183937,0.205806,0.20145,0.199295,0.222024,0.254843,0.274995,0.294091,0.305131,0.313872,0.322595,0.331183,0.338461,0.346353
Percentage growth,-100,-93.1118,24.2673,-2.6944,-16.368,-30.4562,-93.5612,541.867,57.7402,-18.3036,-4.31505,18.741,17.3773,-9.28983,14.7453,10.7919,2.20561,6.94233,1.46832,-16.0273,-37.804,9.79276,-25.8581,9.49739,0.951385,11.859,3.39697,3.81014,7.2588,10.2357,3.6348,2.71219,0.125099,0.202797,0.130829,0.03,-0.418762,0.193062
Local currency in bn,117.921,8.1226,10.0937,9.82176,8.21414,5.71243,0.367811,2.36085,3.72402,3.04239,2.91111,3.45668,4.05735,3.68043,4.22312,4.67888,4.78207,5.11406,5.18915,4.35747,2.71017,2.97557,2.20615,2.41567,2.43866,2.72786,2.82052,2.92799,3.14052,3.46198,3.58782,3.68512,3.68973,3.69722,3.70205,3.70302,3.68751,3.69463
US$ in bn,8.42227,0.580141,0.720925,0.701501,0.586679,0.407999,0.03,0.16862,0.265981,0.217297,0.20792,0.246887,0.289789,0.262868,0.301628,0.33418,0.34155,0.365262,0.370625,0.311224,0.193569,0.212525,0.15757,0.172535,0.174176,0.194832,0.20145,0.209126,0.224306,0.247265,0.256253,0.263203,0.263532,0.264067,0.264412,0.264481,0.263373,0.263882
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.223773,0.137099,0.06,0.06,0.04,0.05,0.07,0.05,0.114661,0.115679,0.105403,0.06,0.109855,0.133733,0.125814,0.155779,0.215582,0.269847,0.461554,0.632249,0.816485,0.533093,0.543623,0.567112,0.626815,0.704423,0.733241,0.800787,0.877084,0.973178,1.09686,1.21633,1.34671,1.48359,1.63277,1.7928,1.97501,2.19501
Percentage of GDP,0,0,3.54622,3.80609,3.34306,7.54924,9.35599,5.40229,17.0535,15.4165,13.6398,7.45315,10.3082,10.326,9.24865,10.3156,12.9108,14.8677,21.4776,23.5872,26.461,17.8832,17.5144,17.2953,18.3335,19.4997,20.0397,20.9455,21.5208,22.4647,23.8202,24.8747,25.9352,27.0099,28.1012,29.1694,30.3778,31.9167
US$ in bn (Nominal),0.264948,0.151117,0.08,0.07,0.05,0.06,0.08,0.06,0.145533,0.131238,0.11813,0.06,0.101211,0.119671,0.118408,0.175817,0.26768,0.33558,0.579013,0.865336,1.196,0.740572,0.719983,0.788357,0.805375,0.93529,0.974489,0.940924,1.00645,1.09783,1.22248,1.35019,1.48894,1.63373,1.79351,1.96615,2.16251,2.39956
Percentage growth,-100,-0.403152,-5.18401,-23.2026,-75.3369,-41.0192,-4.71798,6.66298,78.0167,-4.29591,3.93543,-38.2282,63.8521,-2.6724,-9.0661,14.5775,30.7494,20.0599,56.8527,16.0451,16.6093,-31.2567,0.582062,1.22375,6.53259,9.87134,4.82468,7.91698,6.85641,8.03894,9.74556,7.97736,7.80807,7.26794,7.16183,6.9149,7.26682,8.21769
Local currency in bn,0,0,0.12875,0.123557,0.08,0.114108,0.148164,0.09,0.369607,0.339184,0.309114,0.156252,0.243024,0.246115,0.224642,0.256817,0.335573,0.402652,0.631669,0.767936,0.920945,0.586965,0.590382,0.597606,0.636646,0.699491,0.733239,0.79129,0.845544,0.913517,1.00254,1.08252,1.16704,1.25186,1.34152,1.43429,1.53851,1.66494
US$ in bn,1.74787,1.74082,1.65058,1.2676,0.312629,0.184391,0.175692,0.187398,0.3336,0.319269,0.331833,0.204979,0.335863,0.326887,0.297251,0.340583,0.445311,0.534639,0.838596,0.973149,1.13478,0.780087,0.784628,0.79423,0.846114,0.929636,0.974488,1.05164,1.12374,1.21408,1.3324,1.43869,1.55102,1.66375,1.78291,1.90619,2.04471,2.21274
